symptom_description,severity_score,recommended_action,recommended_specialist,emergency_flag
Crushing chest pain radiating to left arm with sweating,10,Call emergency services immediately and chew aspirin,Cardiologist,true
Sudden cardiac arrest with no pulse,10,Start CPR immediately and call emergency services,Cardiologist,true
Severe chest pain with shortness of breath and nausea,10,Call emergency services immediately,Cardiologist,true
Rapid irregular heartbeat with loss of consciousness,10,Call emergency services and begin CPR if unresponsive,Cardiologist,true
Chest tightness with jaw pain and cold sweat,9,Call emergency services immediately,Cardiologist,true
Heart palpitations with fainting and low blood pressure,9,Call emergency services immediately,Cardiologist,true
Sudden severe chest pressure with vomiting,9,Call emergency services immediately,Cardiologist,true
Acute chest pain lasting more than 20 minutes,9,Call emergency services immediately,Cardiologist,true
Ventricular fibrillation detected on home monitor,10,Call emergency services immediately and use AED if available,Cardiologist,true
Severe breathlessness with pink frothy sputum,10,Call emergency services immediately,Cardiologist,true
Chest pain with sudden drop in blood pressure,10,Call emergency services immediately,Cardiologist,true
New onset atrial fibrillation with dizziness,8,Go to emergency room immediately,Cardiologist,true
Palpitations with syncope in young athlete,9,Call emergency services immediately,Cardiologist,true
Aortic dissection symptoms with tearing back pain,10,Call emergency services immediately,Cardiologist,true
Severe ankle swelling with extreme breathlessness at rest,8,Go to emergency room immediately,Cardiologist,true
Cardiac tamponade with muffled heart sounds and hypotension,10,Call emergency services immediately,Cardiologist,true
Hypertensive crisis with blood pressure above 200/120,9,Go to emergency room immediately,Cardiologist,true
Chest pain with ST elevation on ECG,10,Call emergency services immediately,Cardiologist,true
Sudden death of heartbeat sensation followed by dizziness,9,Call emergency services immediately,Cardiologist,true
Severe leg pain with blue discoloration after cardiac history,8,Go to emergency room immediately,Cardiologist,true
Sudden severe headache described as worst of life,10,Call emergency services immediately,Neurologist,true
Facial drooping with arm weakness and slurred speech,10,Call emergency services immediately - possible stroke,Neurologist,true
Seizure lasting more than 5 minutes,10,Call emergency services immediately,Neurologist,true
Sudden loss of consciousness with convulsions,10,Call emergency services immediately,Neurologist,true
Sudden inability to speak or understand speech,10,Call emergency services immediately - stroke suspected,Neurologist,true
Transient ischemic attack with temporary vision loss,9,Go to emergency room immediately,Neurologist,true
Meningitis symptoms with stiff neck high fever and rash,10,Call emergency services immediately,Neurologist,true
Sudden severe dizziness with inability to stand or walk,9,Call emergency services immediately,Neurologist,true
Progressive weakness in both legs over hours,9,Go to emergency room immediately,Neurologist,true
Status epilepticus with continuous seizure activity,10,Call emergency services immediately,Neurologist,true
Sudden paralysis of one side of body,10,Call emergency services immediately,Neurologist,true
Sudden double vision with severe headache,9,Go to emergency room immediately,Neurologist,true
Encephalitis symptoms with confusion and high fever,10,Call emergency services immediately,Neurologist,true
Spinal cord compression with sudden leg weakness,10,Go to emergency room immediately,Neurologist,true
Subarachnoid hemorrhage with thunderclap headache,10,Call emergency services immediately,Neurologist,true
Loss of bladder control with leg numbness after fall,9,Go to emergency room immediately,Neurologist,true
Sudden onset of psychosis with severe headache,9,Go to emergency room immediately,Neurologist,true
Brain herniation signs with unequal pupils,10,Call emergency services immediately,Neurologist,true
Unexplained coma with no response to stimuli,10,Call emergency services immediately,Neurologist,true
Severe migraine with neurological deficits,8,Go to emergency room immediately,Neurologist,true
Complete inability to breathe with blue lips,10,Call emergency services immediately,Pulmonologist,true
Severe asthma attack not responding to inhaler,10,Call emergency services immediately,Pulmonologist,true
Massive hemoptysis coughing large amounts of blood,10,Call emergency services immediately,Pulmonologist,true
Tension pneumothorax with absent breath sounds,10,Call emergency services immediately,Pulmonologist,true
Anaphylaxis with throat swelling and breathing difficulty,10,Administer epinephrine and call emergency services,Pulmonologist,true
Acute respiratory distress with oxygen saturation below 88%,10,Call emergency services immediately,Pulmonologist,true
Foreign body aspiration with complete airway obstruction,10,Perform Heimlich maneuver and call emergency services,Pulmonologist,true
Severe pulmonary embolism with sudden breathlessness and chest pain,10,Call emergency services immediately,Pulmonologist,true
Epiglottitis with drooling and severe difficulty swallowing,10,Call emergency services immediately,Pulmonologist,true
Drowning-related breathing difficulty after water rescue,10,Call emergency services immediately,Pulmonologist,true
Smoke inhalation with respiratory distress,9,Call emergency services immediately,Pulmonologist,true
Laryngospasm with sudden inability to inhale,10,Call emergency services immediately,Pulmonologist,true
COPD exacerbation with severe breathlessness at rest,9,Call emergency services immediately,Pulmonologist,true
Breathing rate above 30 per minute with confusion,9,Call emergency services immediately,Pulmonologist,true
Severe allergic reaction with bronchospasm,10,Administer epinephrine and call emergency services,Pulmonologist,true
Respiratory failure in known COVID-19 patient,10,Call emergency services immediately,Pulmonologist,true
Pneumothorax with sudden sharp chest pain and breathlessness,9,Go to emergency room immediately,Pulmonologist,true
Severe pneumonia with altered consciousness,9,Call emergency services immediately,Pulmonologist,true
Oxygen saturation dropping to 85% during exercise,8,Go to emergency room immediately,Pulmonologist,true
Tracheal deviation with respiratory distress,10,Call emergency services immediately,Pulmonologist,true
Open fracture with bone visible through skin,10,Call emergency services and do not move the patient,Orthopedic,true
Spinal injury with loss of sensation below neck after accident,10,Call emergency services and immobilize spine,Orthopedic,true
Severe pelvic fracture with internal bleeding signs,10,Call emergency services immediately,Orthopedic,true
Femur fracture with significant blood loss,10,Call emergency services immediately,Orthopedic,true
Traumatic amputation with uncontrolled bleeding,10,Apply tourniquet and call emergency services immediately,Orthopedic,true
Dislocated hip with loss of circulation below injury,9,Call emergency services immediately,Orthopedic,true
Knee dislocation with vascular compromise,10,Call emergency services immediately,Orthopedic,true
Compartment syndrome with severe limb pain and tightness,9,Go to emergency room immediately,Orthopedic,true
Crush injury to limb with no sensation,9,Call emergency services immediately,Orthopedic,true
Cervical spine fracture with neck pain after diving accident,10,Call emergency services and immobilize neck,Orthopedic,true
Multiple rib fractures with breathing difficulty,9,Call emergency services immediately,Orthopedic,true
Skull fracture with clear fluid from ear,10,Call emergency services immediately,Orthopedic,true
Shoulder dislocation with neurovascular compromise,8,Go to emergency room immediately,Orthopedic,true
Severe ankle fracture-dislocation with skin tenting,9,Call emergency services immediately,Orthopedic,true
Bilateral leg fractures after high-velocity trauma,10,Call emergency services immediately,Orthopedic,true
Forearm fracture with absent radial pulse,9,Call emergency services immediately,Orthopedic,true
Sternal fracture with underlying cardiac injury suspicion,10,Call emergency services immediately,Orthopedic,true
Traumatic joint dislocation with nerve injury symptoms,8,Go to emergency room immediately,Orthopedic,true
Open knee joint injury with exposed cartilage,9,Call emergency services immediately,Orthopedic,true
Pathological fracture from bone tumor,8,Go to emergency room immediately,Orthopedic,true
Stevens-Johnson syndrome with widespread blistering,10,Call emergency services immediately,Dermatologist,true
Toxic epidermal necrolysis with skin sloughing,10,Call emergency services immediately,Dermatologist,true
Rapidly spreading cellulitis with red streaks and fever,9,Go to emergency room immediately,Dermatologist,true
Necrotizing fasciitis with black discoloration of skin,10,Call emergency services immediately,Dermatologist,true
Anaphylactic skin reaction with hives and throat tightness,10,Administer epinephrine and call emergency services,Dermatologist,true
Severe burn covering more than 20% of body surface,10,Call emergency services immediately,Dermatologist,true
Chemical burn to face and eyes,10,Flush with water and call emergency services,Dermatologist,true
Rapidly expanding hematoma after minor trauma,8,Go to emergency room immediately,Dermatologist,true
Meningococcal rash not fading with glass test,10,Call emergency services immediately,Dermatologist,true
Gangrenous tissue with foul odor and systemic fever,10,Call emergency services immediately,Dermatologist,true
Electrical burn with entry and exit wounds,10,Call emergency services immediately,Dermatologist,true
Full thickness burn to hand with white leathery appearance,9,Go to emergency room immediately,Dermatologist,true
Pemphigus vulgaris with widespread mucosal blistering,9,Go to emergency room immediately,Dermatologist,true
Severe drug hypersensitivity reaction with systemic symptoms,9,Go to emergency room immediately,Dermatologist,true
Erythroderma covering entire body with fever,9,Go to emergency room immediately,Dermatologist,true
Deep infected wound with red streaking up the limb,9,Go to emergency room immediately,Dermatologist,true
Frostbite with black tissue and complete numbness,9,Go to emergency room immediately,Dermatologist,true
Severe urticaria with angioedema of lips and tongue,9,Administer epinephrine and call emergency services,Dermatologist,true
Rapidly worsening infected diabetic foot ulcer,8,Go to emergency room immediately,Dermatologist,true
Spontaneous skin hemorrhage with fever and low platelets,9,Go to emergency room immediately,Dermatologist,true
Foreign body completely blocking airway in child,10,Perform Heimlich maneuver and call emergency services,ENT,true
Severe tonsillar abscess with inability to swallow or breathe,9,Go to emergency room immediately,ENT,true
Ludwig's angina with floor of mouth swelling,10,Call emergency services immediately,ENT,true
Mastoid abscess with meningitis signs,10,Call emergency services immediately,ENT,true
Epistaxis uncontrolled for more than 20 minutes,8,Go to emergency room immediately,ENT,true
Deep space neck infection with airway compromise,10,Call emergency services immediately,ENT,true
Sudden total hearing loss in both ears,9,Go to emergency room immediately,ENT,true
Acute labyrinthitis with inability to stand,8,Go to emergency room immediately,ENT,true
Fractured larynx after blunt neck trauma,10,Call emergency services immediately,ENT,true
Massive neck hematoma compressing airway,10,Call emergency services immediately,ENT,true
Retropharyngeal abscess with stridor in child,10,Call emergency services immediately,ENT,true
Severe facial trauma with airway compromise,10,Call emergency services immediately,ENT,true
Penetrating neck injury with expanding hematoma,10,Call emergency services immediately,ENT,true
Epiglottitis with tripod positioning and drooling,10,Call emergency services immediately,ENT,true
Acute otitis media with facial nerve palsy,9,Go to emergency room immediately,ENT,true
Sudden sensorineural hearing loss in one ear,7,Go to emergency room within 24 hours,ENT,true
Post-tonsillectomy hemorrhage with active bleeding,9,Go to emergency room immediately,ENT,true
