symptom,specialist,urgency_level
Ear pain,ENT,medium
Hearing loss,ENT,medium
Tinnitus,ENT,low
Nasal congestion,ENT,low
Runny nose,ENT,low
Sneezing,ENT,low
Nosebleed,ENT,medium
Sore throat,ENT,low
Hoarseness,ENT,low
Voice loss,ENT,medium
Difficulty swallowing,ENT,medium
Ear discharge,ENT,medium
Ear itching,ENT,low
Ear fullness,ENT,low
Hearing ringing,ENT,low
Nasal polyps,ENT,medium
Loss of smell,ENT,medium
Loss of taste,ENT,medium
Throat clearing,ENT,low
Post-nasal drip,ENT,low
Swollen tonsils,ENT,medium
Tonsillar abscess,ENT,high
Ear canal blockage,ENT,medium
Sinusitis pain,ENT,medium
Facial pressure,ENT,medium
Nasal dryness,ENT,low
Nasal bleeding both nostrils,ENT,high
Chronic cough with throat clearing,ENT,low
Lump in throat sensation,ENT,medium
Neck mass,ENT,high
Snoring,ENT,low
Sleep apnea symptoms,ENT,medium
Vertigo,ENT,medium
Dizziness with ear pain,ENT,medium
Balance issues,ENT,medium
Fluid in ear,ENT,medium
Perforated eardrum,ENT,medium
Swollen lymph nodes in neck,ENT,medium
Laryngitis,ENT,low
Throat ulcers,ENT,medium
Nasal septum deviation,ENT,low
Chronic sinusitis,ENT,medium
Ear tube blockage,ENT,medium
Parotid gland swelling,ENT,medium
Jaw clicking with ear pain,ENT,low
Throat dryness,ENT,low
Recurrent ear infections,ENT,medium
Nasal crust formation,ENT,low
Foreign body in ear,ENT,high
Foreign body in nose,ENT,high
Eardrum pain,ENT,medium
Enlarged adenoids,ENT,medium
Bleeding tonsils,ENT,high
Throat pain radiating to ear,ENT,medium
Unilateral hearing loss,ENT,high
Sudden deafness,ENT,high
Toothache,Dentist,medium
Tooth sensitivity,Dentist,low
Bleeding gums,Dentist,medium
Swollen gums,Dentist,medium
Bad breath,Dentist,low
Loose teeth,Dentist,medium
Chipped tooth,Dentist,medium
Cracked tooth,Dentist,medium
Tooth abscess,Dentist,high
Jaw pain,Dentist,medium
Gum recession,Dentist,medium
Mouth ulcers,Dentist,medium
Dry mouth,Dentist,low
Tooth discoloration,Dentist,low
Missing teeth,Dentist,low
Broken dental filling,Dentist,medium
Wisdom tooth pain,Dentist,medium
Impacted wisdom tooth,Dentist,high
Teeth grinding,Dentist,low
Clicking jaw,Dentist,low
Mouth sores,Dentist,medium
Painful chewing,Dentist,medium
Gum boil,Dentist,medium
Pus from gums,Dentist,high
Swollen jaw,Dentist,high
Dental cavity pain,Dentist,medium
Tooth erosion,Dentist,medium
Tongue pain,Dentist,medium
White patches in mouth,Dentist,medium
Red patches in mouth,Dentist,medium
Burning mouth,Dentist,medium
Facial swelling from tooth,Dentist,high
Loose dental crown,Dentist,medium
Lost dental crown,Dentist,medium
Gum inflammation,Dentist,medium
Mouth pain,Dentist,medium
Sensitive gums,Dentist,low
Black spots on teeth,Dentist,medium
Receding gums with pain,Dentist,medium
Difficulty opening mouth,Dentist,medium
Tooth root pain,Dentist,high
Jaw locking,Dentist,high
Dental bridge pain,Dentist,medium
Denture pain,Dentist,medium
Cheek biting pain,Dentist,low
Salivary gland pain near jaw,Dentist,medium
Bleeding after tooth extraction,Dentist,high
Dry socket after extraction,Dentist,high
Swollen lip from dental issue,Dentist,medium
Tooth pain at night,Dentist,medium
Chest pain,Cardiologist,high
Palpitations,Cardiologist,high
Shortness of breath on exertion,Cardiologist,high
Irregular heartbeat,Cardiologist,high
Rapid heart rate,Cardiologist,high
Slow heart rate,Cardiologist,high
Chest tightness,Cardiologist,high
Heart fluttering,Cardiologist,medium
Swollen ankles,Cardiologist,medium
Swollen legs,Cardiologist,medium
Leg pain on walking,Cardiologist,medium
Cold hands and feet,Cardiologist,medium
Bluish lips,Cardiologist,high
Fainting,Cardiologist,high
Near fainting,Cardiologist,high
Dizziness on standing,Cardiologist,medium
High blood pressure,Cardiologist,high
Low blood pressure with dizziness,Cardiologist,high
Chest pressure,Cardiologist,high
Pain radiating to left arm,Cardiologist,high
Jaw pain with chest pain,Cardiologist,high
Neck pain with chest tightness,Cardiologist,high
